Code,Longitude,Latitude,Network,Name,Data From,Data To,Operational Currently
M0276,-79.48333,-0.83333,M,PILARCITA,1987,1994,No
M0277,-79.45,-0.7,M,PITITA,1987,1995,No
M0278,-79.44,-3.304722222,M,SANTA ISABEL INERHI,,,No
M0279,-76.38333,-0.13333,M,TARAPOA AEROPUERTO,1974,1978,No
M0280,-79.74167,-1.55528,M,VINCES CEDEGE,1984,1989,No
M0281,-79.48,-1.48944,M,VENTANAS CEDEGE,1987,1991,No
M0282,-78.34333,0.25583,M,TANGALI,1985,1987,No
M0283,-79.35167,-0.79861,M,INMORIEC-EL VERGEL,1985,2011,No
M0284,-79.66666667,-2.083333333,M,YAGUACHI,,,No
M0285,-78.38333333,0.066666667,M,PUELLARO,,,No
M0286,-78.71667,-1.16667,M,HDA.EL CONDE-CUNCHIBAMBA,1992,1992,No
M0287,-78.53333333,-0.383333333,M,PINTAG,,,No
M0288,-78.66666667,-1.266666667,M,SANTA ROSA-TUNGURAHUA,,,No
M0289,-78.71666667,-1.2,M,PASA,,,No
M0290,-80.53333333,-1.2,M,SANTA ANA CRM,,,No
M0291,-78.59306,-0.45833,M,CEEA-AYCHAPICHO,1986,1991,No
M0292,-79.91534612,-3.291230351,M,MACHALA GRANJA STA. INES,1985,2018,No
M0293,-77.06833,-0.30611,M,PALMORIENTE-HUASHITO (PALMAR DEL RIO),1985,2013,No
M0294,-80.47472222,-2.368611111,M,RIO TINTO(CUENCA EXP.),,,No
M0295,-80.49333,-1.63361,M,BANCHAL(CUENCA EXP.),1987,1999,No
M0296,-80.21667,-0.81667,M,ESTANCILLA,1984,1998,No
M0297,-80.28333,-0.66667,M,SIMBOCAL,1986,1990,No
M0298,-80.38333,-1.16667,M,LODANA,1984,1997,No
M0299,-78.52333,-0.16389,M,HCJB ANTENAS - EPMAPS QUITO,1992,1992,No
M0300,-77.9,-1.85,M,ARAPICOS,,,No
M0301,-78.135358,0.607303,M,FF CC CARCHI,1964,2018,No
M0302,-78.04139,0.55278,M,MIRA,1964,1992,No
M0303,-77.90361,0.50528,M,BOLIVAR-CARCHI INAMHI,1964,1998,No
M0304,-77.91139,0.41417,M,MONTE OLIVO,1964,1995,No
M0305,-77.72075,0.652972,M,JULIO ANDRADE,1964,2018,No
M0306,-77.91472,0.64861,M,SAN JOSE LA ESPERANZA-CARCHI,1966,1984,No
M0307,-77.83639,0.5,M,GRUTA LA PAZ,1967,2002,No
M0308,-77.85547222,0.800305556,M,TUFIÑO,1975,2018,No
M0309,-78.25639,0.75167,M,SAN JUAN DE LACHAS-RIO BLANCO,1975,1995,No
M0310,-77.982361,0.296306,M,MARIANO ACOSTA,1963,2017,No
M0311,-78.21111,0.51806,M,CAHUASQUI,1963,1985,No
M0312,-78.195,0.498917,M,PABLO ARENAS,1963,2018,No
M0313,-78.18861,0.48472,M,COPIHUE,1963,1991,No
M0314,-78.010472,0.424472,M,AMBUQUI,1963,2020,No
M0315,-77.941194,0.389611,M,PIMAMPIRO,1963,2017,No
M0316,-78.08333,0.20528,M,ZULETA,1963,1995,No
M0317,-78.268694,0.305,M,COTACACHI-HDA.ESTHERCITA,1963,2018,No
M0318,-78.513639,0.354972,M,APUELA-INTAG,1964,2018,No
M0319,-78.24,0.2,M,SAN RAFAEL DEL LAGO,1965,2010,No
M0320,-78.17889,0.18722,M,HDA.LA VEGA,1965,1986,No
M0321,-78.16625,0.211417,M,TOPO-IMBABURA(ANGLA),1965,2019,No
M0322,-78.38944,0.2725,M,CAMBUGAN,1965,2002,No
M0323,-78.37583,0.28944,M,ACHUPALLAS-IMBABURA,1965,1997,No
M0324,-77.913444,0.294778,M,SAN FRANCISCO DE SIGSIPAMBA,1966,2018,No
M0325,-78.627139,0.234806,M,GARCIA MORENO,1975,2017,No
M0326,-78.576806,0.246333,M,SELVA ALEGRE-IMBABURA,1977,2018,No
M0327,-78.75,0.237389,M,CHONTAL BAJO(GUAYLL.DJ ALAMBI),1967,2018,No
M0328,-78.26975,0.348194,M,HDA.LA MARIA-ANEXAS(LETICIA),1971,2016,No
M0329,-78.40139,0.2575,M,INGUINCHO GRANDE,1965,1995,No
M0330,-78.40444,0.2575,M,INGUINCHO # 1,1975,1988,No
M0331,-78.4075,0.25944,M,INGUINCHO # 5,1976,1987,No
M0332,-78.40389,0.26167,M,INGUINCHO # 7,1975,1985,No
M0333,-78.41,0.26389,M,INGUINCHO # 8,1975,1985,No
M0334,-78.40972,0.265,M,INGUINCHO # 9,1976,1987,No
M0335,-78.527653,-0.204028,M,LA CHORRERA,1977,2016,No
M0336,-78.76361,0.14639,M,PACTO,1964,1993,No
M0337,-78.39305556,0.168888889,M,SAN JOSE DE MINAS,1964,2018,No
M0338,-78.42139,0.11417,M,PERUCHO INAMHI,1964,1988,No
M0339,-78.681581,0.063747,M,NANEGALITO,1964,2018,No
M0340,-78.77222,-0.05028,M,MINDO INAMHI,1964,1988,No
M0341,-78.34306,-0.05694,M,GUAYLLABAMBA,1964,1999,No
M0342,-78.49472,-0.09722,M,COTOCOLLAO,1964,1986,No
M0343,-78.298075,-0.108667,M,EL QUINCHE-PICHINCHA,1965,2015,No
M0344,-78.168889,-0.048778,M,CANGAHUA,1964,2018,No
M0345,-78.4275,-0.095333,M,CALDERON,1964,2018,No
M0346,-78.316028,-0.162194,M,YARUQUI INAMHI,1964,2018,No
M0347,-78.35583,-0.17611,M,PUEMBO,1964,1996,No
M0348,-79.249917,-0.24275,M,SANTA ANITA-KM.10 VIA CHONE,1964,2018,No
M0349,-78.35556,-0.425,M,HDA.PINANTURA(LA COCHA),1964,1999,No
M0350,-78.65333,-0.47639,M,HDA.LA GRANJA-ALOAG,1964,1994,No
M0351,-79.40306,-0.2575,M,LAS DELICIAS-PICHINCHA,1964,2010,No
M0352,-78.43333,-0.33333,M,SANGOLQUI,1982,2011,No
M0353,-78.418558,-0.431078,M,RUMIPAMBA-PICHINCHA,1964,2017,No
M0354,-78.624336,-0.291761,M,SAN JUAN-PICHINCHA(CHILLOG.),1965,2016,No
M0355,-78.9325,-0.30972,M,PILATON AJ TOACHI,1967,1985,No
M0356,-78.51917,-0.16667,M,CANAL 4 TV.,1975,1986,No
M0357,-78.523889,-0.167611,M,CANAL 10 TV.,1976,2019,No
M0358,-78.512867,0.001658,M,CALACALI INAMHI,1976,2018,No
M0359,-78.15,0.04075,M,CAYAMBE,1975,2018,No
M0360,-78.94472,-0.34444,M,CHITOA-TANDAPI,1964,1984,No
M0361,-78.564119,-0.038658,M,NONO,1975,2019,No
M0362,-78.965,-0.425555556,M,LAS PAMPAS,1965,2017,No
M0363,-78.884872,-0.696528,M,SIGCHOS,1964,2019,No
M0364,-78.444167,-0.525278,M,LORETO PEDREGAL,1964,2018,No
